38,08/20/26,Osaka Prefectural Suito Kokusai High School,Osaka,Osaka,,,
10,08/19/26,Osaka YMCA International School (OYIS),Osaka,Osaka,,,
32,x,Otsuma Nakano Senior High School,Nakano Ward,Tokyo,NO GCE NO IB,,
59,,Ritsumeikan Keisho Senior High School,Ebetsu,Hokkaido,NO GCE NO IB,,
24,08/18/26,Ritsumeikan Uji Senior High School,Uji,Kyoto,,,
92,,Saga Prefectural Saga Nishi High School,Saga,Saga,NO GCE NO IB,,
8,08/17/26,Saint Maur International School,Yokohama,Kanagawa,,,
20,08/19/26,Saitama Municipal Omiya International Secondary School,Saitama,Saitama,,,
65,,Saitama Prefectural Inagakuen Comprehensive High School,Ina,Saitama,NO GCE NO IB,,
4,08/18/26,Seisen International School,Setagaya Ward,Tokyo,,,
34,????,Sendai Ikuei Gakuen High School,Sendai,Miyagi,?????,,
27,08/19/26,Senior High School at Sakado (University of Tsukuba),Sakado,Saitama,,,
,08/18/26,Senri International School of Kwansei Gakuin (SIS),"Toyonaka, Osaka",Domestic Private Track,Dual IB Framework,,
33,x,Senzoku Gakuen High School,Kawasaki,Kanagawa,NO GCE NO IB,,
76,,Shiga Prefectural Zeze High School,Otsu,Shiga,NO GCE NO IB,,
83,,Shimane Prefectural Masuda High School,Masuda,Shimane,NO GCE NO IB,,
73,,Shizuoka Prefectural Mishima Kita High School,Mishima,Shizuoka,NO GCE NO IB,,
36,08/20/26,Shizuoka Salesio Senior High School,Shizuoka,Shizuoka,,,
5,08/18/26,St. Mary's International School,Setagaya Ward,Tokyo,,,
16,08/17/26,Tamagawa Academy,Machida,Tokyo,,,
64,,Tochigi Prefectural Utsunomiya Central High School,Utsunomiya,Tochigi,NO GCE NO IB,,
55,x,Tokai Gakuen High School,Nagoya,Aichi,NO GCE NO IB,,
87,,Tokushima Prefectural Jonan High School,Tokushima,Tokushima,NO GCE NO IB,,
23,08/18/26,Tokyo Gakugei University International Secondary School,Nerima Ward,Tokyo,,,
17,08/17/26,Tokyo Metropolitan Kokusai High School,Meguro Ward,Tokyo,,,
82,08/20/26,Tottori Prefectural Kurayoshi Higashi High School,Kurayoshi,Tottori,,,
67,,Toyama Prefectural Toyama High School,Toyama,Toyama,NO GCE NO IB,,
46,08/20/26,Tsukuba International School,Tsukuba,Ibaraki,,,
25,08/18/26,UWC ISAK Japan,Karuizawa,Nagano,,,
81,,Wakayama Prefectural Hidaka High School,Gobo,Wakayama,NO GCE NO IB,,
62,,Yamagata Prefectural Higashi High School,Yamagata,Yamagata,NO GCE NO IB,,
86,,Yamaguchi Prefectural Iwakuni High School,Iwakuni,Yamaguchi,NO GCE NO IB,,
53,08/20/26,Yamanashi Gakuin High School,Kofu,Yamanashi,,,
70,,Yamanashi Prefectural Kofu First High School,Kofu,Yamanashi,NO GCE NO IB,,
3,08/18/26,Yokohama International School (YIS),Yokohama,Kanagawa,,,
,08/22/26,Enishi International School,,,IB,,
,08/22/26,Eisugakkan Junior and Senior High School,,,IB,,
