Ranking,EMAIL0,Name,Location,Category,Curriculum Pathway,
39,,Global Indian International School (GIIS),"Edogawa, Tokyo",International School,English IB DP Track,
40,,Miyagi Prefectural Sendai Nika High School,"Sendai, Miyagi",Domestic Public Track,MEXT Dual-Language IB DP,
41,,Ichijo High School,Nara Prefecture,Domestic Public Track,MEXT Dual-Language IB DP,
42,,Kaichi Nihonbashi Gakuen Senior High,"Chuo-ku, Tokyo",Domestic Private Track,MEXT Dual-Language IB DP,
43,,Kyoto Municipal Saikyo High School Track,"Kyoto City, Kyoto",Domestic Public Track,MEXT Dual-Language IB DP,
44,,市立札幌開成中等教育学校 (Sapporo Kaisei),"Sapporo, Hokkaido",Domestic Public Track,MEXT Dual-Language IB DP,
45,,Hyogo Prefectural Ashiya International Secondary,"Ashiya, Hyogo",Domestic Public Track,MEXT Dual-Language IB DP,
46,,Sendai Ikuei Gakuen High School,"Sendai, Miyagi",Domestic Private Track,MEXT Dual-Language IB DP,
47,,Musashino University Chiyoda High School,"Chiyoda-ku, Tokyo",Domestic Private Track,MEXT Dual-Language IB DP,
48,,India International School in Japan,"Koto-ku, Tokyo",International School,English IB DP Track,
49,,Gyosei International High School,"Kisarazu, Chiba",Domestic Private Track,English Medium IB DP,
50,,Yokohama Municipal Minato Sogo High School,"Yokohama, Kanagawa",Domestic Public Track,MEXT Dual-Language IB DP,
51,,Shizuoka Prefectural Mishima Kita High School,"Mishima, Shizuoka",Domestic Public Track,MEXT Dual-Language IB DP,
52,,Kyoto International School,"Kyoto City, Kyoto",International School,English IB DP Block,
53,,Kaichi Nozomi Secondary School,"Tsukuba, Ibaraki",Domestic Private Track,MEXT Dual-Language IB DP,
54,,Tohoku International School,"Sendai, Miyagi",International School,Full English IB DP Track,
55,,Shukutoku High School,"Itabashi-ku, Tokyo",Domestic Private Track,MEXT Dual-Language IB DP,
56,,高知県立高知国際高等学校 (Kochi Kokusai),"Kochi, Shikoku",Domestic Public Track,MEXT Dual-Language IB DP,
57,,Nagano Nihon University High School,"Nagano City, Nagano",Domestic Private Track,MEXT Dual-Language IB DP,
58,,AIE International High School,"Awaji, Hyogo",Domestic Private Track,MEXT Dual-Language IB DP,
59,,Okinawa International School,"Nanjo, Okinawa",International School,Full English IB DP Track,
60,,Seirei Christopher High School,"Hamamatsu, Shizuoka",Domestic Private Track,MEXT Dual-Language IB DP,
61,,Kogakuin University Junior & Senior High,"Hachioji, Tokyo",Domestic Private Track,IB DP Authorized Track,
62,,Columbia International School,"Tokorozawa, Saitama",International School,English IB DP Track,
63,,Shohei High School,Saitama Prefecture,Domestic Private Track,MEXT Dual-Language IB DP,
64,,Aichi Prefectural Sanaru Senior High,Aichi Prefecture,Domestic Public Track,MEXT Dual-Language IB DP,
65,,Okayama University of Science High School,"Okayama City, Okayama",Domestic Private Track,MEXT Dual-Language IB DP,
66,,Kanto Gakuin Mutsuura High School,"Yokohama, Kanagawa",Domestic Private Track,MEXT Dual-Language IB DP,
67,,Oita Prefectural Oita Uenoogaoka High School,"Oita City, Oita",Domestic Public Track,MEXT Dual-Language IB DP,
68,,Okazaki Gakuen High School,"Okazaki, Aichi",Domestic Private Track,MEXT Dual-Language IB DP,
69,,Osaka Prefectural Kishiwada High School Track,"Kishiwada, Osaka",Domestic Public Track,MEXT Dual-Language IB DP,
70,,Fukuoka Prefectural Munakata High School Track,"Munakata, Fukuoka",Domestic Public Track,MEXT Dual-Language IB DP,
71,,Kagoshima Prefectural Konan High School Track,"Kagoshima City, Kagoshima",Domestic Public Track,MEXT Dual-Language IB DP,
72,,Kumamoto Prefectural Daiichi High School Track,"Kumamoto City, Kumamoto",Domestic Public Track,MEXT Dual-Language IB DP,
73,,Oiso Academy Senior High School,Kanagawa Prefecture,Domestic Private Track,MEXT Dual-Language IB DP,
74,,Tsukuba Shuei Gakuen High School,Ibaraki Prefecture,Domestic Private Track,MEXT Dual-Language IB DP,
75,,Osaka Prefectural Suita Gujo High School,"Suita, Osaka",Domestic Public Track,MEXT Dual-Language IB DP,
76,,Aichi Gakuin High School Track,"Nagoya, Aichi",Domestic Private Track,MEXT Dual-Language IB DP,
77,,Urawa Gakuin High School,Saitama Prefecture,Domestic Private Track,MEXT Dual-Language IB DP,
78,,Chisaikan High School,Saitama Prefecture,Domestic Private Track,MEXT Dual-Language IB DP,
79,,Hakuho Girls' High School,"Yokohama, Kanagawa",Domestic Private Track,MEXT Dual-Language IB DP,
80,,Chiba Keizai University附属 High School,Chiba Prefecture,Domestic Private Track,MEXT Dual-Language IB DP,
81,,Sojo University High School,Kumamoto Prefecture,Domestic Private Track,MEXT Dual-Language IB DP,
