Ranking,Name,Location,Exams,Performance_Score
52,Tochigi Prefectural High School Tier-54,Tochigi,Japanese Common Test & University Exams,67.7
53,Gunma Prefectural High School Tier-55,Gunma,Japanese Common Test & University Exams,67.7
54,Saitama Prefectural High School Tier-56,Saitama,Japanese Common Test & University Exams,67.3
55,Chiba Prefectural High School Tier-57,Chiba,Japanese Common Test & University Exams,67.3
56,Kanagawa Prefectural High School Tier-58,Kanagawa,Japanese Common Test & University Exams,67.3
57,Toyama Prefectural High School Tier-60,Toyama,Japanese Common Test & University Exams,67.0
58,Niigata Prefectural High School Tier-59,Niigata,Japanese Common Test & University Exams,67.0
59,Fukui Prefectural High School Tier-62,Fukui,Japanese Common Test & University Exams,66.7
60,Yamanashi Prefectural High School Tier-63,Yamanashi,Japanese Common Test & University Exams,66.7
61,Ishikawa Prefectural High School Tier-61,Ishikawa,Japanese Common Test & University Exams,66.7
62,Nagano Prefectural High School Tier-64,Nagano,Japanese Common Test & University Exams,66.3
63,Gifu Prefectural High School Tier-65,Gifu,Japanese Common Test & University Exams,66.3
64,Shizuoka Prefectural High School Tier-66,Shizuoka,Japanese Common Test & University Exams,66.0
65,Aichi Prefectural High School Tier-67,Aichi,Japanese Common Test & University Exams,66.0
66,Mie Prefectural High School Tier-68,Mie,Japanese Common Test & University Exams,66.0
67,Shiga Prefectural High School Tier-69,Shiga,Japanese Common Test & University Exams,65.7
68,Kyoto Prefectural High School Tier-70,Kyoto,Japanese Common Test & University Exams,65.7
69,Nara Prefectural High School Tier-73,Nara,Japanese Common Test & University Exams,65.3
70,Hyogo Prefectural High School Tier-72,Hyogo,Japanese Common Test & University Exams,65.3
71,Osaka Prefectural High School Tier-71,Osaka,Japanese Common Test & University Exams,65.3
72,Wakayama Prefectural High School Tier-74,Wakayama,Japanese Common Test & University Exams,65.0
73,Tottori Prefectural High School Tier-75,Tottori,Japanese Common Test & University Exams,65.0
74,Shimane Prefectural High School Tier-76,Shimane,Japanese Common Test & University Exams,64.7
75,Okayama Prefectural High School Tier-77,Okayama,Japanese Common Test & University Exams,64.7
76,Hiroshima Prefectural High School Tier-78,Hiroshima,Japanese Common Test & University Exams,64.7
77,Yamaguchi Prefectural High School Tier-79,Yamaguchi,Japanese Common Test & University Exams,64.3
78,Tokushima Prefectural High School Tier-80,Tokushima,Japanese Common Test & University Exams,64.3
79,Kagawa Prefectural High School Tier-81,Kagawa,Japanese Common Test & University Exams,64.0
80,Ehime Prefectural High School Tier-82,Ehime,Japanese Common Test & University Exams,64.0
81,Kochi Prefectural High School Tier-83,Kochi,Japanese Common Test & University Exams,64.0
82,Fukuoka Prefectural High School Tier-84,Fukuoka,Japanese Common Test & University Exams,63.7
83,Saga Prefectural High School Tier-85,Saga,Japanese Common Test & University Exams,63.7
84,Nagasaki Prefectural High School Tier-86,Nagasaki,Japanese Common Test & University Exams,63.3
85,Oita Prefectural High School Tier-88,Oita,Japanese Common Test & University Exams,63.3
86,Kumamoto Prefectural High School Tier-87,Kumamoto,Japanese Common Test & University Exams,63.3
87,Kagoshima Prefectural High School Tier-90,Kagoshima,Japanese Common Test & University Exams,63.0
88,Miyazaki Prefectural High School Tier-89,Miyazaki,Japanese Common Test & University Exams,63.0
89,Okinawa Prefectural High School Tier-91,Okinawa,Japanese Common Test & University Exams,62.7
90,Aomori Prefectural High School Tier-93,Aomori,Japanese Common Test & University Exams,62.7
91,Hokkaido Prefectural High School Tier-92,Hokkaido,Japanese Common Test & University Exams,62.7
92,Harrow International School Appi,Iwate,GCE A-Levels / Cambridge CIE,62.7
93,Iwate Prefectural High School Tier-94,Iwate,Japanese Common Test & University Exams,62.3
94,Miyagi Prefectural High School Tier-95,Miyagi,Japanese Common Test & University Exams,62.3
95,Akita Prefectural High School Tier-96,Akita,Japanese Common Test & University Exams,62.0
96,Yamagata Prefectural High School Tier-97,Yamagata,Japanese Common Test & University Exams,62.0
97,Fukushima Prefectural High School Tier-98,Fukushima,Japanese Common Test & University Exams,62.0
98,Ibaraki Prefectural High School Tier-99,Ibaraki,Japanese Common Test & University Exams,61.7
99,Tochigi Prefectural High School Tier-100,Tochigi,Japanese Common Test & University Exams,61.7
100,Chiba Prefectural High School Tier-103,Chiba,Japanese Common Test & University Exams,61.3
101,Gunma Prefectural High School Tier-101,Gunma,Japanese Common Test & University Exams,61.3
102,Saitama Prefectural High School Tier-102,Saitama,Japanese Common Test & University Exams,61.3
103,Niigata Prefectural High School Tier-105,Niigata,Japanese Common Test & University Exams,61.0
104,Kanagawa Prefectural High School Tier-104,Kanagawa,Japanese Common Test & University Exams,61.0
105,Toyama Prefectural High School Tier-106,Toyama,Japanese Common Test & University Exams,60.7
106,Ishikawa Prefectural High School Tier-107,Ishikawa,Japanese Common Test & University Exams,60.7
107,Fukui Prefectural High School Tier-108,Fukui,Japanese Common Test & University Exams,60.7
108,Yamanashi Prefectural High School Tier-109,Yamanashi,Japanese Common Test & University Exams,60.3
109,Nagano Prefectural High School Tier-110,Nagano,Japanese Common Test & University Exams,60.3
110,Gifu Prefectural High School Tier-111,Gifu,Japanese Common Test & University Exams,60.0
111,Shizuoka Prefectural High School Tier-112,Shizuoka,Japanese Common Test & University Exams,60.0
112,Aichi Prefectural High School Tier-113,Aichi,Japanese Common Test & University Exams,60.0
113,Mie Prefectural High School Tier-114,Mie,Japanese Common Test & University Exams,59.7
114,Shiga Prefectural High School Tier-115,Shiga,Japanese Common Test & University Exams,59.7
115,Osaka Prefectural High School Tier-117,Osaka,Japanese Common Test & University Exams,59.3
116,Hyogo Prefectural High School Tier-118,Hyogo,Japanese Common Test & University Exams,59.3
117,Kyoto Prefectural High School Tier-116,Kyoto,Japanese Common Test & University Exams,59.3
118,Wakayama Prefectural High School Tier-120,Wakayama,Japanese Common Test & University Exams,59.0
119,Nara Prefectural High School Tier-119,Nara,Japanese Common Test & University Exams,59.0
120,Tottori Prefectural High School Tier-121,Tottori,Japanese Common Test & University Exams,58.7
121,Okayama Prefectural High School Tier-123,Okayama,Japanese Common Test & University Exams,58.7
122,Shimane Prefectural High School Tier-122,Shimane,Japanese Common Test & University Exams,58.7
123,Yamaguchi Prefectural High School Tier-125,Yamaguchi,Japanese Common Test & University Exams,58.3
124,Hiroshima Prefectural High School Tier-124,Hiroshima,Japanese Common Test & University Exams,58.3
125,Tokushima Prefectural High School Tier-126,Tokushima,Japanese Common Test & University Exams,58.0
126,Kagawa Prefectural High School Tier-127,Kagawa,Japanese Common Test & University Exams,58.0
127,Ehime Prefectural High School Tier-128,Ehime,Japanese Common Test & University Exams,58.0
128,Kochi Prefectural High School Tier-129,Kochi,Japanese Common Test & University Exams,57.7
129,Fukuoka Prefectural High School Tier-130,Fukuoka,Japanese Common Test & University Exams,57.7
130,Saga Prefectural High School Tier-131,Saga,Japanese Common Test & University Exams,57.3
131,Nagasaki Prefectural High School Tier-132,Nagasaki,Japanese Common Test & University Exams,57.3
132,Kumamoto Prefectural High School Tier-133,Kumamoto,Japanese Common Test & University Exams,57.3
133,Oita Prefectural High School Tier-134,Oita,Japanese Common Test & University Exams,57.0
134,Miyazaki Prefectural High School Tier-135,Miyazaki,Japanese Common Test & University Exams,57.0
135,Kagoshima Prefectural High School Tier-136,Kagoshima,Japanese Common Test & University Exams,56.7
136,Hokkaido Prefectural High School Tier-138,Hokkaido,Japanese Common Test & University Exams,56.7
137,Okinawa Prefectural High School Tier-137,Okinawa,Japanese Common Test & University Exams,56.7
138,Iwate Prefectural High School Tier-140,Iwate,Japanese Common Test & University Exams,56.3
139,Aomori Prefectural High School Tier-139,Aomori,Japanese Common Test & University Exams,56.3
140,Miyagi Prefectural High School Tier-141,Miyagi,Japanese Common Test & University Exams,56.0
141,Akita Prefectural High School Tier-142,Akita,Japanese Common Test & University Exams,56.0
142,Yamagata Prefectural High School Tier-143,Yamagata,Japanese Common Test & University Exams,56.0
143,Fukushima Prefectural High School Tier-144,Fukushima,Japanese Common Test & University Exams,55.7
144,Ibaraki Prefectural High School Tier-145,Ibaraki,Japanese Common Test & University Exams,55.7
145,Tochigi Prefectural High School Tier-146,Tochigi,Japanese Common Test & University Exams,55.3
146,Gunma Prefectural High School Tier-147,Gunma,Japanese Common Test & University Exams,55.3
147,Saitama Prefectural High School Tier-148,Saitama,Japanese Common Test & University Exams,55.3
148,Kanagawa Prefectural High School Tier-150,Kanagawa,Japanese Common Test & University Exams,55.0
149,Chiba Prefectural High School Tier-149,Chiba,Japanese Common Test & University Exams,55.0
150,Rugby School Japan,Chiba,GCE A-Levels / Cambridge CIE,54.9
151,Niigata Prefectural High School Tier-151,Niigata,Japanese Common Test & University Exams,54.7
152,Toyama Prefectural High School Tier-152,Toyama,Japanese Common Test & University Exams,54.7
153,Ishikawa Prefectural High School Tier-153,Ishikawa,Japanese Common Test & University Exams,54.7
154,Fukui Prefectural High School Tier-154,Fukui,Japanese Common Test & University Exams,54.3
155,Yamanashi Prefectural High School Tier-155,Yamanashi,Japanese Common Test & University Exams,54.3
156,Nagano Prefectural High School Tier-156,Nagano,Japanese Common Test & University Exams,54.0
157,Gifu Prefectural High School Tier-157,Gifu,Japanese Common Test & University Exams,54.0
158,Shizuoka Prefectural High School Tier-158,Shizuoka,Japanese Common Test & University Exams,54.0
159,Mie Prefectural High School Tier-160,Mie,Japanese Common Test & University Exams,53.7
160,Aichi Prefectural High School Tier-159,Aichi,Japanese Common Test & University Exams,53.7
161,Shiga Prefectural High School Tier-161,Shiga,Japanese Common Test & University Exams,53.3
162,Kyoto Prefectural High School Tier-162,Kyoto,Japanese Common Test & University Exams,53.3
163,Osaka Prefectural High School Tier-163,Osaka,Japanese Common Test & University Exams,53.3
164,Hyogo Prefectural High School Tier-164,Hyogo,Japanese Common Test & University Exams,53.0
165,Nara Prefectural High School Tier-165,Nara,Japanese Common Test & University Exams,53.0
166,Wakayama Prefectural High School Tier-166,Wakayama,Japanese Common Test & University Exams,52.7
167,Tottori Prefectural High School Tier-167,Tottori,Japanese Common Test & University Exams,52.7
168,Shimane Prefectural High School Tier-168,Shimane,Japanese Common Test & University Exams,52.7
169,Okayama Prefectural High School Tier-169,Okayama,Japanese Common Test & University Exams,52.3
170,Hiroshima Prefectural High School Tier-170,Hiroshima,Japanese Common Test & University Exams,52.3
171,Kagawa Prefectural High School Tier-173,Kagawa,Japanese Common Test & University Exams,52.0
172,Tokushima Prefectural High School Tier-172,Tokushima,Japanese Common Test & University Exams,52.0
173,Yamaguchi Prefectural High School Tier-171,Yamaguchi,Japanese Common Test & University Exams,52.0
174,Ehime Prefectural High School Tier-174,Ehime,Japanese Common Test & University Exams,51.7
175,Kochi Prefectural High School Tier-175,Kochi,Japanese Common Test & University Exams,51.7
176,Fukuoka Prefectural High School Tier-176,Fukuoka,Japanese Common Test & University Exams,51.3
177,Saga Prefectural High School Tier-177,Saga,Japanese Common Test & University Exams,51.3
178,Nagasaki Prefectural High School Tier-178,Nagasaki,Japanese Common Test & University Exams,51.3
179,Kumamoto Prefectural High School Tier-179,Kumamoto,Japanese Common Test & University Exams,51.0
180,Oita Prefectural High School Tier-180,Oita,Japanese Common Test & University Exams,51.0
181,Miyazaki Prefectural High School Tier-181,Miyazaki,Japanese Common Test & University Exams,50.7
182,Kagoshima Prefectural High School Tier-182,Kagoshima,Japanese Common Test & University Exams,50.7
183,Okinawa Prefectural High School Tier-183,Okinawa,Japanese Common Test & University Exams,50.7
184,Hokkaido Prefectural High School Tier-184,Hokkaido,Japanese Common Test & University Exams,50.3
185,Aomori Prefectural High School Tier-185,Aomori,Japanese Common Test & University Exams,50.3
186,Akita Prefectural High School Tier-188,Akita,Japanese Common Test & University Exams,50.0
187,Miyagi Prefectural High School Tier-187,Miyagi,Japanese Common Test & University Exams,50.0
188,Iwate Prefectural High School Tier-186,Iwate,Japanese Common Test & University Exams,50.0
189,Yamagata Prefectural High School Tier-189,Yamagata,Japanese Common Test & University Exams,49.7
190,Fukushima Prefectural High School Tier-190,Fukushima,Japanese Common Test & University Exams,49.7
191,Ibaraki Prefectural High School Tier-191,Ibaraki,Japanese Common Test & University Exams,49.3
192,Tochigi Prefectural High School Tier-192,Tochigi,Japanese Common Test & University Exams,49.3
193,Gunma Prefectural High School Tier-193,Gunma,Japanese Common Test & University Exams,49.3
194,Chiba Prefectural High School Tier-195,Chiba,Japanese Common Test & University Exams,49.0
195,Laurus International School of Science,Tokyo,GCE A-Levels / Cambridge CIE,49.0
196,Saitama Prefectural High School Tier-194,Saitama,Japanese Common Test & University Exams,49.0
197,Niigata Prefectural High School Tier-197,Niigata,Japanese Common Test & University Exams,48.7
198,Toyama Prefectural High School Tier-198,Toyama,Japanese Common Test & University Exams,48.7
199,Kanagawa Prefectural High School Tier-196,Kanagawa,Japanese Common Test & University Exams,48.7
200,Ishikawa Prefectural High School Tier-199,Ishikawa,Japanese Common Test & University Exams,48.3
201,Fukui Prefectural High School Tier-200,Fukui,Japanese Common Test & University Exams,48.3
202,Yamanashi Prefectural High School Tier-201,Yamanashi,Japanese Common Test & University Exams,48.0
203,Nagano Prefectural High School Tier-202,Nagano,Japanese Common Test & University Exams,48.0
204,Gifu Prefectural High School Tier-203,Gifu,Japanese Common Test & University Exams,48.0
205,Shizuoka Prefectural High School Tier-204,Shizuoka,Japanese Common Test & University Exams,47.7
206,Aichi Prefectural High School Tier-205,Aichi,Japanese Common Test & University Exams,47.7
207,Shiga Prefectural High School Tier-207,Shiga,Japanese Common Test & University Exams,47.3
208,Kyoto Prefectural High School Tier-208,Kyoto,Japanese Common Test & University Exams,47.3
209,Mie Prefectural High School Tier-206,Mie,Japanese Common Test & University Exams,47.3
210,Osaka Prefectural High School Tier-209,Osaka,Japanese Common Test & University Exams,47.0
211,Hyogo Prefectural High School Tier-210,Hyogo,Japanese Common Test & University Exams,47.0
212,Nara Prefectural High School Tier-211,Nara,Japanese Common Test & University Exams,46.7
213,Wakayama Prefectural High School Tier-212,Wakayama,Japanese Common Test & University Exams,46.7
214,Tottori Prefectural High School Tier-213,Tottori,Japanese Common Test & University Exams,46.7
215,Shimane Prefectural High School Tier-214,Shimane,Japanese Common Test & University Exams,46.3
216,Okayama Prefectural High School Tier-215,Okayama,Japanese Common Test & University Exams,46.3
217,Hiroshima Prefectural High School Tier-216,Hiroshima,Japanese Common Test & University Exams,46.0
218,Yamaguchi Prefectural High School Tier-217,Yamaguchi,Japanese Common Test & University Exams,46.0
219,Tokushima Prefectural High School Tier-218,Tokushima,Japanese Common Test & University Exams,46.0
220,Kagawa Prefectural High School Tier-219,Kagawa,Japanese Common Test & University Exams,45.7
221,Ehime Prefectural High School Tier-220,Ehime,Japanese Common Test & University Exams,45.7
222,Saga Prefectural High School Tier-223,Saga,Japanese Common Test & University Exams,45.3
223,Fukuoka Prefectural High School Tier-222,Fukuoka,Japanese Common Test & University Exams,45.3
224,Kochi Prefectural High School Tier-221,Kochi,Japanese Common Test & University Exams,45.3
225,Kumamoto Prefectural High School Tier-225,Kumamoto,Japanese Common Test & University Exams,45.0
226,Nagasaki Prefectural High School Tier-224,Nagasaki,Japanese Common Test & University Exams,45.0
227,Oita Prefectural High School Tier-226,Oita,Japanese Common Test & University Exams,44.7
228,Miyazaki Prefectural High School Tier-227,Miyazaki,Japanese Common Test & University Exams,44.7
229,Kagoshima Prefectural High School Tier-228,Kagoshima,Japanese Common Test & University Exams,44.7
230,Okinawa Prefectural High School Tier-229,Okinawa,Japanese Common Test & University Exams,44.3
231,Hokkaido Prefectural High School Tier-230,Hokkaido,Japanese Common Test & University Exams,44.3
232,Aomori Prefectural High School Tier-231,Aomori,Japanese Common Test & University Exams,44.0
233,Iwate Prefectural High School Tier-232,Iwate,Japanese Common Test & University Exams,44.0
234,Miyagi Prefectural High School Tier-233,Miyagi,Japanese Common Test & University Exams,44.0
235,Akita Prefectural High School Tier-234,Akita,Japanese Common Test & University Exams,43.7
236,Yamagata Prefectural High School Tier-235,Yamagata,Japanese Common Test & University Exams,43.7
237,Tochigi Prefectural High School Tier-238,Tochigi,Japanese Common Test & University Exams,43.3
238,Fukushima Prefectural High School Tier-236,Fukushima,Japanese Common Test & University Exams,43.3
239,Ibaraki Prefectural High School Tier-237,Ibaraki,Japanese Common Test & University Exams,43.3
240,Gunma Prefectural High School Tier-239,Gunma,Japanese Common Test & University Exams,43.0
241,Saitama Prefectural High School Tier-240,Saitama,Japanese Common Test & University Exams,43.0
242,Chiba Prefectural High School Tier-241,Chiba,Japanese Common Test & University Exams,42.7
243,Kanagawa Prefectural High School Tier-242,Kanagawa,Japanese Common Test & University Exams,42.7
244,Niigata Prefectural High School Tier-243,Niigata,Japanese Common Test & University Exams,42.7
245,Toyama Prefectural High School Tier-244,Toyama,Japanese Common Test & University Exams,42.3
246,Ishikawa Prefectural High School Tier-245,Ishikawa,Japanese Common Test & University Exams,42.3
247,Fukui Prefectural High School Tier-246,Fukui,Japanese Common Test & University Exams,42.0
248,Yamanashi Prefectural High School Tier-247,Yamanashi,Japanese Common Test & University Exams,42.0
249,Nagano Prefectural High School Tier-248,Nagano,Japanese Common Test & University Exams,42.0
250,Shizuoka Prefectural High School Tier-250,Shizuoka,Japanese Common Test & University Exams,41.7
251,Gifu Prefectural High School Tier-249,Gifu,Japanese Common Test & University Exams,41.7
252,Shiga Prefectural High School Tier-253,Shiga,Japanese Common Test & University Exams,41.3
253,Aichi Prefectural High School Tier-251,Aichi,Japanese Common Test & University Exams,41.3
254,Mie Prefectural High School Tier-252,Mie,Japanese Common Test & University Exams,41.3
255,Kyoto Prefectural High School Tier-254,Kyoto,Japanese Common Test & University Exams,41.0
256,Osaka Prefectural High School Tier-255,Osaka,Japanese Common Test & University Exams,41.0
257,Hyogo Prefectural High School Tier-256,Hyogo,Japanese Common Test & University Exams,40.7
258,Nara Prefectural High School Tier-257,Nara,Japanese Common Test & University Exams,40.7
259,Wakayama Prefectural High School Tier-258,Wakayama,Japanese Common Test & University Exams,40.7
260,Tottori Prefectural High School Tier-259,Tottori,Japanese Common Test & University Exams,40.3
261,Shimane Prefectural High School Tier-260,Shimane,Japanese Common Test & University Exams,40.3
262,Okayama Prefectural High School Tier-261,Okayama,Japanese Common Test & University Exams,40.0
263,Hiroshima Prefectural High School Tier-262,Hiroshima,Japanese Common Test & University Exams,40.0
264,Yamaguchi Prefectural High School Tier-263,Yamaguchi,Japanese Common Test & University Exams,40.0
265,Tokushima Prefectural High School Tier-264,Tokushima,Japanese Common Test & University Exams,39.7
266,Kagawa Prefectural High School Tier-265,Kagawa,Japanese Common Test & University Exams,39.7
267,Fukuoka Prefectural High School Tier-268,Fukuoka,Japanese Common Test & University Exams,39.3
268,Kochi Prefectural High School Tier-267,Kochi,Japanese Common Test & University Exams,39.3
269,Ehime Prefectural High School Tier-266,Ehime,Japanese Common Test & University Exams,39.3
270,Saga Prefectural High School Tier-269,Saga,Japanese Common Test & University Exams,39.0
271,Nagasaki Prefectural High School Tier-270,Nagasaki,Japanese Common Test & University Exams,39.0
272,Kumamoto Prefectural High School Tier-271,Kumamoto,Japanese Common Test & University Exams,38.7
273,Oita Prefectural High School Tier-272,Oita,Japanese Common Test & University Exams,38.7
274,Miyazaki Prefectural High School Tier-273,Miyazaki,Japanese Common Test & University Exams,38.7
275,Kagoshima Prefectural High School Tier-274,Kagoshima,Japanese Common Test & University Exams,38.3
276,Okinawa Prefectural High School Tier-275,Okinawa,Japanese Common Test & University Exams,38.3
277,Hokkaido Prefectural High School Tier-276,Hokkaido,Japanese Common Test & University Exams,38.0
278,Aomori Prefectural High School Tier-277,Aomori,Japanese Common Test & University Exams,38.0
279,Iwate Prefectural High School Tier-278,Iwate,Japanese Common Test & University Exams,38.0
280,Miyagi Prefectural High School Tier-279,Miyagi,Japanese Common Test & University Exams,37.7
281,Akita Prefectural High School Tier-280,Akita,Japanese Common Test & University Exams,37.7
282,Ibaraki Prefectural High School Tier-283,Ibaraki,Japanese Common Test & University Exams,37.3
283,Yamagata Prefectural High School Tier-281,Yamagata,Japanese Common Test & University Exams,37.3
284,Fukushima Prefectural High School Tier-282,Fukushima,Japanese Common Test & University Exams,37.3
285,Tochigi Prefectural High School Tier-284,Tochigi,Japanese Common Test & University Exams,37.0
286,Gunma Prefectural High School Tier-285,Gunma,Japanese Common Test & University Exams,37.0
287,Saitama Prefectural High School Tier-286,Saitama,Japanese Common Test & University Exams,36.7
288,Chiba Prefectural High School Tier-287,Chiba,Japanese Common Test & University Exams,36.7
289,Kanagawa Prefectural High School Tier-288,Kanagawa,Japanese Common Test & University Exams,36.7
290,Niigata Prefectural High School Tier-289,Niigata,Japanese Common Test & University Exams,36.3
291,Toyama Prefectural High School Tier-290,Toyama,Japanese Common Test & University Exams,36.3
292,Ishikawa Prefectural High School Tier-291,Ishikawa,Japanese Common Test & University Exams,36.0
293,Fukui Prefectural High School Tier-292,Fukui,Japanese Common Test & University Exams,36.0
294,Yamanashi Prefectural High School Tier-293,Yamanashi,Japanese Common Test & University Exams,36.0
295,Nagano Prefectural High School Tier-294,Nagano,Japanese Common Test & University Exams,35.7
296,Gifu Prefectural High School Tier-295,Gifu,Japanese Common Test & University Exams,35.7
297,Mie Prefectural High School Tier-298,Mie,Japanese Common Test & University Exams,35.3
298,Aichi Prefectural High School Tier-297,Aichi,Japanese Common Test & University Exams,35.3
299,Shizuoka Prefectural High School Tier-296,Shizuoka,Japanese Common Test & University Exams,35.3
300,Shiga Prefectural High School Tier-299,Shiga,Japanese Common Test & University Exams,35.0
301,Kyoto Prefectural High School Tier-300,Kyoto,Japanese Common Test & University Exams,35.0
302,Osaka Prefectural High School Tier-301,Osaka,Japanese Common Test & University Exams,34.7
303,Hyogo Prefectural High School Tier-302,Hyogo,Japanese Common Test & University Exams,34.7
304,Nara Prefectural High School Tier-303,Nara,Japanese Common Test & University Exams,34.7
305,Wakayama Prefectural High School Tier-304,Wakayama,Japanese Common Test & University Exams,34.3
306,Tottori Prefectural High School Tier-305,Tottori,Japanese Common Test & University Exams,34.3
307,Shimane Prefectural High School Tier-306,Shimane,Japanese Common Test & University Exams,34.0
308,Okayama Prefectural High School Tier-307,Okayama,Japanese Common Test & University Exams,34.0
309,Hiroshima Prefectural High School Tier-308,Hiroshima,Japanese Common Test & University Exams,34.0
310,Yamaguchi Prefectural High School Tier-309,Yamaguchi,Japanese Common Test & University Exams,33.7
311,Tokushima Prefectural High School Tier-310,Tokushima,Japanese Common Test & University Exams,33.7
312,Kochi Prefectural High School Tier-313,Kochi,Japanese Common Test & University Exams,33.3
313,Ehime Prefectural High School Tier-312,Ehime,Japanese Common Test & University Exams,33.3
314,Kagawa Prefectural High School Tier-311,Kagawa,Japanese Common Test & University Exams,33.3
315,Saga Prefectural High School Tier-315,Saga,Japanese Common Test & University Exams,33.0
316,Fukuoka Prefectural High School Tier-314,Fukuoka,Japanese Common Test & University Exams,33.0
317,Nagasaki Prefectural High School Tier-316,Nagasaki,Japanese Common Test & University Exams,32.7
318,Oita Prefectural High School Tier-318,Oita,Japanese Common Test & University Exams,32.7
319,Kumamoto Prefectural High School Tier-317,Kumamoto,Japanese Common Test & University Exams,32.7
320,Miyazaki Prefectural High School Tier-319,Miyazaki,Japanese Common Test & University Exams,32.3
321,Kagoshima Prefectural High School Tier-320,Kagoshima,Japanese Common Test & University Exams,32.3
322,Okinawa Prefectural High School Tier-321,Okinawa,Japanese Common Test & University Exams,32.0
323,Hokkaido Prefectural High School Tier-322,Hokkaido,Japanese Common Test & University Exams,32.0
